Combinations,Absolute Error,Root Mean Square Error
"['H-index', 'Total refs', 'Total cites-3yrs']",0.6932894238825803,0.4806502252674401
"['H-index', 'Total refs', 'Citable Docs-3 yrs']",0.6569652813180098,0.43160338085725175
"['H-index', 'Total refs', 'cites,doc 2 yrs']",0.7183447863719183,0.516019232107717
"['H-index', 'Total refs', 'ref/docs']",0.6942647553148165,0.48200355047234195
"['H-index', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.6912449641226481,0.4778196004249211
"['H-index', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7205955197672897,0.5192579031086905
"['H-index', 'Total cites-3yrs', 'ref/docs']",0.7008414940600064,0.491178799796262
"['H-index', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7213528781150326,0.520349974764841
"['H-index', 'Citable Docs-3 yrs', 'ref/docs']",0.6952454644065336,0.4833662557778565
"['H-index', 'cites,doc 2 yrs', 'ref/docs']",0.723931194273309,0.5240763740419795
"['Total Docs', 'Total Docs-3yrs', 'Total refs']",0.7284419159094866,0.5306276248538835
"['Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs']",0.7160240197611353,0.5126903968748946
"['Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs']",0.7104304080239723,0.5047113646451077
"['Total Docs', 'Total Docs-3yrs', 'cites,doc 2 yrs']",0.7246350005348625,0.5250958840001602
"['Total Docs', 'Total Docs-3yrs', 'ref/docs']",0.7121637968385754,0.5071772735275357
"['Total Docs', 'Total refs', 'Total cites-3yrs']",0.7271776474273878,0.5287873309180303
"['Total Docs', 'Total refs', 'Citable Docs-3 yrs']",0.7221315734618228,0.521474009390448
"['Total Docs', 'Total refs', 'cites,doc 2 yrs']",0.7182810772533205,0.5159277059401906
"['Total Docs', 'Total refs', 'ref/docs']",0.6895077027571141,0.4754208721613929
"['Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7082597502951802,0.501631873888191
"['Total Docs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7176245784869576,0.5149850356485836
"['Total Docs', 'Total cites-3yrs', 'ref/docs']",0.7424963982183761,0.5513009013672613
"['Total Docs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7239830104269166,0.5241513993868209
"['Total Docs', 'Citable Docs-3 yrs', 'ref/docs']",0.7071165424099923,0.5000138045498624
"['Total Docs', 'cites,doc 2 yrs', 'ref/docs']",0.7215248542612642,0.5205981153167386
"['Total Docs-3yrs', 'Total refs', 'Total cites-3yrs']",0.7477545435235353,0.5591368573600907
"['Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs']",0.739295694950965,0.5465581245730303
"['Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs']",0.7298615417153628,0.5326978700751263
"['Total Docs-3yrs', 'Total refs', 'ref/docs']",0.7302467217149708,0.5332602745754621
"['Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.725,0.525625
"['Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['Total Docs-3yrs', 'Total cites-3yrs', 'ref/docs']",0.725,0.525625
"['Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['Total Docs-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.725,0.525625
"['Total Docs-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7423982948795117,0.5511552282400064
"['Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7222925921588881,0.5217065886876058
"['Total refs', 'Total cites-3yrs', 'ref/docs']",0.7475942357536028,0.5588971413320135
"['Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7295496154433039,0.5322426413934725
"['Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.7269306365755241,0.5284281503920968
"['Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7224130180973016,0.5218805687164523
"['Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.725,0.525625
"['Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs']",0.6600645896892404,0.4356852625616253
"['SJR', 'H-index', 'Total Docs', 'Total refs']",0.6877307313380839,0.4729735588268158
"['SJR', 'H-index', 'Total Docs', 'Total cites-3yrs']",0.6944970524727261,0.48232615589330446
"['SJR', 'H-index', 'Total Docs', 'Citable Docs-3 yrs']",0.6561693874405274,0.430558265014077
"['SJR', 'H-index', 'Total Docs', 'cites,doc 2 yrs']",0.7173938596040444,0.5146539497975874
"['SJR', 'H-index', 'Total Docs', 'ref/docs']",0.6953370524689347,0.4834936165361861
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs']",0.6611398315257518,0.43710587682989954
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total cites-3yrs']",0.691257922362444,0.47783751522884266
"['SJR', 'H-index', 'Total Docs-3yrs', 'Citable Docs-3 yrs']",0.6908448752486656,0.4772666416573443
"['SJR', 'H-index', 'Total Docs-3yrs', 'cites,doc 2 yrs']",0.7214315198171565,0.5204634377856923
"['SJR', 'H-index', 'Total Docs-3yrs', 'ref/docs']",0.6955435367756265,0.48378081155034736
"['SJR', 'H-index', 'Total refs', 'Total cites-3yrs']",0.6932894238825803,0.4806502252674401
"['SJR', 'H-index', 'Total refs', 'Citable Docs-3 yrs']",0.6569652813180098,0.43160338085725175
"['SJR', 'H-index', 'Total refs', 'cites,doc 2 yrs']",0.7183447863719183,0.516019232107717
"['SJR', 'H-index', 'Total refs', 'ref/docs']",0.6942647553148165,0.48200355047234195
"['SJR', 'H-index', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.6912449641226481,0.4778196004249211
"['SJR', 'H-index', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7205955197672897,0.5192579031086905
"['SJR', 'H-index', 'Total cites-3yrs', 'ref/docs']",0.7008414940600064,0.491178799796262
"['SJR', 'H-index', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7213528781150326,0.520349974764841
"['SJR', 'H-index', 'Citable Docs-3 yrs', 'ref/docs']",0.6952454644065336,0.4833662557778565
"['SJR', 'H-index', 'cites,doc 2 yrs', 'ref/docs']",0.723931194273309,0.5240763740419795
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total refs']",0.7284419159094866,0.5306276248538835
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs']",0.7160240197611353,0.5126903968748946
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs']",0.7104304080239723,0.5047113646451077
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'cites,doc 2 yrs']",0.7246350005348625,0.5250958840001602
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'ref/docs']",0.7121637968385754,0.5071772735275357
"['SJR', 'Total Docs', 'Total refs', 'Total cites-3yrs']",0.7271776474273878,0.5287873309180303
"['SJR', 'Total Docs', 'Total refs', 'Citable Docs-3 yrs']",0.7221315734618228,0.521474009390448
"['SJR', 'Total Docs', 'Total refs', 'cites,doc 2 yrs']",0.7182810772533205,0.5159277059401906
"['SJR', 'Total Docs', 'Total refs', 'ref/docs']",0.6895077027571141,0.4754208721613929
"['SJR', 'Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7082597502951802,0.501631873888191
"['SJR', 'Total Docs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7176245784869576,0.5149850356485836
"['SJR', 'Total Docs', 'Total cites-3yrs', 'ref/docs']",0.7424963982183761,0.5513009013672613
"['SJR', 'Total Docs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7239830104269166,0.5241513993868209
"['SJR', 'Total Docs', 'Citable Docs-3 yrs', 'ref/docs']",0.7071165424099923,0.5000138045498624
"['SJR', 'Total Docs', 'cites,doc 2 yrs', 'ref/docs']",0.7215248542612642,0.5205981153167386
"['SJR', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs']",0.7477545435235353,0.5591368573600907
"['SJR', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs']",0.739295694950965,0.5465581245730303
"['SJR', 'Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs']",0.7298615417153628,0.5326978700751263
"['SJR', 'Total Docs-3yrs', 'Total refs', 'ref/docs']",0.7302467217149708,0.5332602745754621
"['SJR', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.725,0.525625
"['SJR', 'Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['SJR', 'Total Docs-3yrs', 'Total cites-3yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['SJR', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'Total Docs-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7423982948795117,0.5511552282400064
"['SJR', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7222925921588881,0.5217065886876058
"['SJR', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.7475942357536028,0.5588971413320135
"['SJR', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7295496154433039,0.5322426413934725
"['SJR', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.7269306365755241,0.5284281503920968
"['SJR', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7224130180973016,0.5218805687164523
"['SJR', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['SJR', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs']",0.6551813238713337,0.4292625671497934
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs']",0.6633561590200152,0.44004139370978773
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs']",0.6598657064088262,0.43542275049441925
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'cites,doc 2 yrs']",0.7185231482603708,0.5162755145859947
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'ref/docs']",0.668037784797501,0.44627448191715224
"['H-index', 'Total Docs', 'Total refs', 'Total cites-3yrs']",0.6939111315186345,0.48151265844547164
"['H-index', 'Total Docs', 'Total refs', 'Citable Docs-3 yrs']",0.6504062415839107,0.4230282790913084
"['H-index', 'Total Docs', 'Total refs', 'cites,doc 2 yrs']",0.7180535655853842,0.5156009230498837
"['H-index', 'Total Docs', 'Total refs', 'ref/docs']",0.6944246658522967,0.48222561654407387
"['H-index', 'Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.6595076601580954,0.4349503538072058
"['H-index', 'Total Docs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.714629738842973,0.5106956636387757
"['H-index', 'Total Docs', 'Total cites-3yrs', 'ref/docs']",0.7120219072623375,0.5069751964214967
"['H-index', 'Total Docs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7177164943144941,0.5151169662110873
